Hub Genes,Model,Metric,Value
10,LR,Accuracy,79.69
10,KNN,Accuracy,90.62
10,RF,Accuracy,64.06
10,GBoost,Accuracy,65.62
10,AdaBoost,Accuracy,64.06
10,Bagging,Accuracy,64.06
10,ET,Accuracy,76.56
10,XGBoost,Accuracy,64.06
20,LR,Accuracy,90.62
20,KNN,Accuracy,82.81
20,RF,Accuracy,78.12
20,GBoost,Accuracy,89.06
20,AdaBoost,Accuracy,89.06
20,Bagging,Accuracy,73.44
20,ET,Accuracy,98.44
20,XGBoost,Accuracy,82.81
30,LR,Accuracy,98.59
30,KNN,Accuracy,94.86
30,RF,Accuracy,93.19
30,GBoost,Accuracy,98.89
30,AdaBoost,Accuracy,98.38
30,Bagging,Accuracy,94.46
30,ET,Accuracy,97.11
30,XGBoost,Accuracy,93.92
40,LR,Accuracy,100
40,KNN,Accuracy,95.31
40,RF,Accuracy,92.19
40,GBoost,Accuracy,96.88
40,AdaBoost,Accuracy,84.38
40,Bagging,Accuracy,84.38
40,ET,Accuracy,96.88
40,XGBoost,Accuracy,85.94
